0f6a67da.0	0f6a67da.0	NSFTV126	Pappaku	RDP1	indica	1	O. sativa	1.1	1.1
8fafd383.0	8fafd383.0	NSFTV129	Peh-Kuh	RDP1	indica	1	O. sativa	2.4	1.9
a796716d.0	a796716d.0	NSFTV130	Peh-Kuh-Tsao-Tu	RDP1	indica	1	O. sativa	1.2	1
02cc7c6d.0	02cc7c6d.0	NSFTV132	Rathuwee	RDP1	indica	0.993	O. sativa	1	1
d72ee9ba.0	d72ee9ba.0	NSFTV136	RTS12	RDP1	indica	0.963	O. sativa	7.8	6.1
8653bbdb.0	8653bbdb.0	NSFTV137	RTS14	RDP1	indica	1	O. sativa	0.9	0.6
1a946dc6.0	1a946dc6.0	NSFTV138	RTS4	RDP1	indica	0.853	O. sativa	1.2	0.9
a8319fc6.0	a8319fc6.0	NSFTV141	Seratoes Hari	RDP1	indica	1	O. sativa	0.7	0.7
806c51cc.0	806c51cc.0	NSFTV142	Shai-Kuh	RDP1	indica	0.971	O. sativa	0.9	0.8
17c4070a.0	17c4070a.0	NSFTV145	Short Grain	RDP1	indica	1	O. sativa	1.3	1
ed1beb9e.0	ed1beb9e.0	NSFTV148	Sintane Diofor	RDP1	indica	0.788	O. sativa	0.7	0.7
93387d96.0	93387d96.0	NSFTV156	Taichung Native 1	RDP1	indica	1	O. sativa	1	1.1
4ef132dc.0	4ef132dc.0	NSFTV159	Tam Cau 9A	RDP1	indica	0.984	O. sativa	3.9	2.8
4f643bf5.0	4f643bf5.0	NSFTV161	TeQing	RDP1	indica	0.987	O. sativa	3.6	3.4
2b28e441.0	2b28e441.0	NSFTV162	TKM6	RDP1	indica	0.946	O. sativa	3.3	2.8
192e24ab.0	192e24ab.0	NSFTV163	Taducan	RDP1	indica	0.962	O. sativa	0.6	0.5
446f6c62.0	446f6c62.0	NSFTV17	Binulawan	RDP1	indica	0.96	O. sativa	4.3	3.1
b238d197.0	b238d197.0	NSFTV171	ZHE 733	RDP1	indica	1	O. sativa	1	0.7
9ac72c9e.0	9ac72c9e.0	NSFTV172	Zhenshan 2	RDP1	indica	0.96	O. sativa	1.7	1.3
661eaeaa.0	661eaeaa.0	NSFTV189	Criollo La Fria	RDP1	indica	0.991	O. sativa	5.4	4.9
cff871e8.0	cff871e8.0	NSFTV196	JM70	RDP1	indica	0.998	O. sativa	3.4	2.7
f46f03bf.0	f46f03bf.0	NSFTV203	Radin Ebos 33	RDP1	indica	1	O. sativa	2.7	2.2
d628ec3a.0	d628ec3a.0	NSFTV207	Sigadis	RDP1	indica	1	O. sativa	0.5	0.4
e876c9ec.0	e876c9ec.0	NSFTV208	SLO 17	RDP1	indica	1	O. sativa	1.2	1.3
5384be83.0	5384be83.0	NSFTV209	Tchibanga	RDP1	indica	1	O. sativa	1	0.7
fa4c4111.0	fa4c4111.0	NSFTV21	Byakkoku Y 5006 Seln	RDP1	indica	0.991	O. sativa	1	0.8
7cfe4a0c.0	7cfe4a0c.0	NSFTV222	Paraiba Chines Nova	RDP1	indica	1	O. sativa	1.5	1.3
49649a00.0	49649a00.0	NSFTV231	Hunan Early Dwarf No. 3	RDP1	indica	1	O. sativa	1.1	0.8
32ca1759.0	32ca1759.0	NSFTV234	Aijiaonante	RDP1	indica	1	O. sativa	1.2	0.8
13ae4f27.0	13ae4f27.0	NSFTV235	Sze Guen Zim	RDP1	indica	1	O. sativa	2.2	1.5
2a7724c1.0	2a7724c1.0	NSFTV241	ECIA76-S89-1	RDP1	indica	0.978	O. sativa	1.6	1.2
56f5103e.0	56f5103e.0	NSFTV252	Djimoron	RDP1	indica	1	O. sativa	0.8	0.8
3fb62843.0	3fb62843.0	NSFTV255	Pai Hok Glutinous	RDP1	indica	1	O. sativa	3.3	3
092f15e7.0	092f15e7.0	NSFTV269	Sundensis	RDP1	indica	0.81	O. sativa	1.9	2.1
a32e0586.0	a32e0586.0	NSFTV284	IR-44595	RDP1	indica	0.963	O. sativa	1.3	0.9
30646147.0	30646147.0	NSFTV29	Chau	RDP1	indica	1	O. sativa	1.7	1.3
9a60fd42.0	9a60fd42.0	NSFTV294	SL 22-613	RDP1	indica	0.97	O. sativa	2.7	2.4
07f246bb.0	07f246bb.0	NSFTV299	SML 242	RDP1	indica	1	O. sativa	0.9	0.7
5ef1be74.0	5ef1be74.0	NSFTV3	Ai-Chiao-Hong	RDP1	indica	1	O. sativa	1.1	0.9
dd6e755e.0	dd6e755e.0	NSFTV30	Chiem Chanh	RDP1	indica	0.954	O. sativa	2.7	2
773e969e.0	773e969e.0	NSFTV304	519	RDP1	indica	0.996	O. sativa	3.1	2.7
872ec0b4.0	872ec0b4.0	NSFTV313	BR24	RDP1	indica	0.978	O. sativa	0.9	0.7
74c9fbbc.0	74c9fbbc.0	NSFTV315	Dawebyan	RDP1	indica	0.862	O. sativa	3	2.4
d0392fe8.0	d0392fe8.0	NSFTV325	EMATA A 16-34	RDP1	indica	1	O. sativa	1.2	0.9
a7bec464.0	a7bec464.0	NSFTV337	Sabharaj	RDP1	indica	1	O. sativa	0.7	0.6
b3a301ea.0	b3a301ea.0	NSFTV339	Yodanya	RDP1	indica	1	O. sativa	0.9	0.6
c03e2c51.0	c03e2c51.0	NSFTV34	NSFTV34	RDP1	indica	0.876	O. sativa	1.2	1
a446becd.0	a446becd.0	NSFTV348	China 1039	RDP1	indica	1	O. sativa	4.5	3.7
a5a6e2dd.0	a5a6e2dd.0	NSFTV349	Chang Ch'Sang Hsu Tao	RDP1	indica	1	O. sativa	0.9	0.7
c59435a8.0	c59435a8.0	NSFTV35	CO18	RDP1	indica	0.859	O. sativa	2.4	1.9
41be3af3.0	41be3af3.0	NSFTV354	BALA	RDP1	indica	1	O. sativa	1.7	1.3
f22d2dc6.0	f22d2dc6.0	NSFTV356	JC 117	RDP1	indica	1	O. sativa	1.1	0.8
3b25c24f.0	3b25c24f.0	NSFTV385	Nira	RDP1	indica	1	O. sativa	0.9	0.6
0c8eb926.0	0c8eb926.0	NSFTV398	93-11	RDP1	indica	1	O. sativa	0.9	0.7
61876b53.0	61876b53.0	NSFTV400	Yang Dao 6	RDP1	indica	1	O. sativa	1	1.1
e5951598.0	e5951598.0	NSFTV43	Dee Geo Woo Gen	RDP1	indica	1	O. sativa	0.8	0.6
71d5fcf4.0	71d5fcf4.0	NSFTV57	NSFTV57	RDP1	indica	1	O. sativa	1.4	1.2
85240e22.0	85240e22.0	NSFTV612	IR64	RDP1	indica	0.987	O. sativa	5.7	5.6
298c9652.0	298c9652.0	NSFTV616	RT0034	RDP1	indica	0.936	O. sativa	4	3.3
9e09efb3.0	9e09efb3.0	NSFTV620	Jasmine85	RDP1	indica	1	O. sativa	2.2	1.8
630c7f90.0	630c7f90.0	NSFTV626	C101A51	RDP1	indica	0.968	O. sativa	3.9	4.6
b23710c4.0	b23710c4.0	NSFTV633	Jing 185-7	RDP1	indica	1	O. sativa	3.3	7.1
924bd3ae.0	924bd3ae.0	NSFTV634	Rondo (4484-1693)	RDP1	indica	0.988	O. sativa	1.9	1.4
ebb47c09.0	ebb47c09.0	NSFTV636	Sadu Cho	RDP1	indica	0.998	O. sativa	2.2	1.5
986a3c37.0	986a3c37.0	NSFTV642	Zhenshan 97B	RDP1	indica	0.959	O. sativa	2.6	2
0491646d.0	0491646d.0	NSFTV643	Minghui 63	RDP1	indica	0.852	O. sativa	8.5	12.3
f66e275e.0	f66e275e.0	NSFTV644	IR64-21	RDP1	indica	0.986	O. sativa	6	5.7
ea294193.0	ea294193.0	NSFTV646	Swarna	RDP1	indica	0.933	O. sativa	7.4	10.5
7691a376.0	7691a376.0	NSFTV66	Hsia Chioh Keh Tu	RDP1	indica	0.939	O. sativa	5.3	4.2
