FID IID AVERAGE_LENGTH
NSFTV172 NSFTV172 5.48
NSFTV219 NSFTV219 6.57
NSFTV289 NSFTV289 5.74
NSFTV51 NSFTV51 5
NSFTV268 NSFTV268 6.51
NSFTV56 NSFTV56 4.99
NSFTV248 NSFTV248 5.71
NSFTV338 NSFTV338 5.08
NSFTV31 NSFTV31 4.97
NSFTV118 NSFTV118 5.51
NSFTV154 NSFTV154 5.86
NSFTV155 NSFTV155 4.99
NSFTV158 NSFTV158 4.69
NSFTV157 NSFTV157 4.88
NSFTV179 NSFTV179 5.28
NSFTV181 NSFTV181 5.21
NSFTV192 NSFTV192 5.49
NSFTV224 NSFTV224 5.61
NSFTV279 NSFTV279 6.18
NSFTV290 NSFTV290 4.91
NSFTV301 NSFTV301 5.24
NSFTV363 NSFTV363 5.09
NSFTV133 NSFTV133 4.85
NSFTV204 NSFTV204 6.47
NSFTV243 NSFTV243 7.02
NSFTV295 NSFTV295 5.07
NSFTV291 NSFTV291 5.09
NSFTV256 NSFTV256 6.18
NSFTV263 NSFTV263 5.29
NSFTV265 NSFTV265 5.73
NSFTV275 NSFTV275 6.12
NSFTV306 NSFTV306 5.15
NSFTV311 NSFTV311 4.92
NSFTV333 NSFTV333 4.91
NSFTV334 NSFTV334 5.8
NSFTV365 NSFTV365 6.23
NSFTV380 NSFTV380 4.78
NSFTV366 NSFTV366 4.95
NSFTV9 NSFTV9 5.35
NSFTV10 NSFTV10 4.72
NSFTV36 NSFTV36 5.58
NSFTV67 NSFTV67 5.27
NSFTV79 NSFTV79 5.29
NSFTV103 NSFTV103 5.04
NSFTV151 NSFTV151 4.89
NSFTV216 NSFTV216 4.84
NSFTV232 NSFTV232 4.69
NSFTV282 NSFTV282 5.21
NSFTV287 NSFTV287 5.76
NSFTV169 NSFTV169 6.94
NSFTV143 NSFTV143 4.92
NSFTV180 NSFTV180 4.88
NSFTV184 NSFTV184 4.92
NSFTV283 NSFTV283 5.61
NSFTV288 NSFTV288 6.24
NSFTV303 NSFTV303 5.31
NSFTV368 NSFTV368 4.59
NSFTV83 NSFTV83 4.72
NSFTV186 NSFTV186 5
NSFTV297 NSFTV297 5.23
NSFTV355 NSFTV355 5.47
NSFTV32 NSFTV32 4.76
NSFTV245 NSFTV245 5.6
NSFTV177 NSFTV177 5.61
NSFTV296 NSFTV296 5.49
NSFTV267 NSFTV267 4.92
NSFTV165 NSFTV165 5.27
NSFTV391 NSFTV391 6.84
NSFTV396 NSFTV396 6.44
NSFTV226 NSFTV226 6.65
NSFTV84 NSFTV84 4.95
NSFTV25 NSFTV25 6.23
NSFTV27 NSFTV27 6.74
NSFTV75 NSFTV75 5.06
NSFTV89 NSFTV89 4.74
NSFTV92 NSFTV92 5.11
NSFTV99 NSFTV99 6.66
NSFTV107 NSFTV107 6.89
NSFTV108 NSFTV108 5.79
NSFTV116 NSFTV116 6.5
NSFTV120 NSFTV120 6.43
NSFTV122 NSFTV122 5.56
NSFTV147 NSFTV147 6.18
NSFTV150 NSFTV150 5.55
NSFTV164 NSFTV164 5.77
NSFTV185 NSFTV185 6.52
NSFTV187 NSFTV187 6.9
NSFTV188 NSFTV188 5.36
NSFTV190 NSFTV190 6.35
NSFTV198 NSFTV198 6.82
NSFTV199 NSFTV199 5.04
NSFTV214 NSFTV214 6.82
NSFTV258 NSFTV258 6.88
NSFTV285 NSFTV285 6.85
NSFTV392 NSFTV392 6.72
NSFTV59 NSFTV59 4.84
NSFTV73 NSFTV73 6.72
NSFTV139 NSFTV139 6.46
NSFTV308 NSFTV308 6.31
NSFTV310 NSFTV310 6.75
NSFTV350 NSFTV350 6.27
NSFTV377 NSFTV377 6.3
NSFTV384 NSFTV384 6.24
NSFTV394 NSFTV394 6.56
NSFTV347 NSFTV347 6.49
NSFTV202 NSFTV202 6.8
NSFTV8 NSFTV8 6.33
NSFTV23 NSFTV23 5.62
NSFTV24 NSFTV24 6.67
NSFTV46 NSFTV46 6.89
NSFTV65 NSFTV65 6.7
NSFTV69 NSFTV69 6.87
NSFTV70 NSFTV70 6.16
NSFTV98 NSFTV98 6.9
NSFTV175 NSFTV175 6.49
NSFTV201 NSFTV201 5.8
NSFTV215 NSFTV215 6.38
NSFTV239 NSFTV239 5.81
NSFTV251 NSFTV251 6.77
NSFTV274 NSFTV274 6.83
NSFTV54 NSFTV54 6.85
NSFTV176 NSFTV176 5.59
NSFTV37 NSFTV37 6.54
NSFTV242 NSFTV242 6.3
NSFTV342 NSFTV342 5.54
NSFTV101 NSFTV101 6.68
NSFTV395 NSFTV395 6.46
NSFTV286 NSFTV286 6.44
NSFTV102 NSFTV102 5.54
NSFTV105 NSFTV105 5.42
NSFTV113 NSFTV113 5.21
NSFTV22 NSFTV22 5.78
NSFTV26 NSFTV26 6.57
NSFTV397 NSFTV397 6.65
NSFTV220 NSFTV220 5.65
NSFTV200 NSFTV200 5.44
NSFTV212 NSFTV212 6.51
NSFTV121 NSFTV121 5.03
NSFTV281 NSFTV281 6.6
NSFTV13 NSFTV13 6.22
NSFTV49 NSFTV49 4.97
NSFTV66 NSFTV66 4.98
NSFTV117 NSFTV117 5.38
NSFTV119 NSFTV119 7.07
NSFTV144 NSFTV144 4.99
NSFTV152 NSFTV152 6.76
NSFTV161 NSFTV161 5.45
NSFTV167 NSFTV167 6.5
NSFTV213 NSFTV213 6.41
NSFTV240 NSFTV240 6.37
NSFTV255 NSFTV255 5.47
NSFTV307 NSFTV307 5.47
